trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-119.34187636670023,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-75.38920892192557,"{0: 22, 1: 6, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,15,-1.487505813652168,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-182.40479221868821,"{0: 10, 1: 5, 2: 1, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-90.93932344578838,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-22.911034163340947,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,14,-50.72816643267196,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-49.3881562034518,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-42.890159785942906,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-48.70149711825842,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,9.02550072282463,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,7,-11.622720902537395,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,-38.650313800919136,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-47.14809250956236,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,9,-17.46989446646945,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-82.36916146200312,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,15,10.378314371325477,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-15.790289158884331,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,5,-44.97456100648191,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,18,-29.356714901145992,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-50.460874700847896,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",35,0,39.53156685456894,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,8,-37.489837447609126,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,14,10.61685070641977,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,8,24.666534587296628,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,8.45038825844857,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,19,-12.017127458428844,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,30.857569199643628,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-27.774663612682495,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,11,21.251180680144117,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
