trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9900498337491681, 'e': 0.9323938199059483}",20,0,-65.08441621224361,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.9801986733067553, 'e': 0.8693582353988059}",20,0,-102.5700610570578,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.9704455335485082, 'e': 0.8105842459701871}",20,0,-26.938737055968236,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.9607894391523232, 'e': 0.7557837414557255}",25,0,-43.31513153964075,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.951229424500714, 'e': 0.7046880897187134}",30,0,-98.48560740189801,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.9417645335842487, 'e': 0.6570468198150567}",25,0,-136.07428864519343,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.9323938199059483, 'e': 0.612626394184416}",25,5,-22.88267105167449,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.9231163463866358, 'e': 0.5712090638488149}",25,0,-80.6718943358663,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.9139311852712282, 'e': 0.5325918010068972}",25,0,-113.43520834289778,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.9048374180359595, 'e': 0.49658530379140947}",20,12,-13.03878682016863,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.8958341352965282, 'e': 0.46301306831122807}",30,5,-47.82065308313379,"{0: 19, 1: 4, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.8869204367171575, 'e': 0.4317105234290797}",30,11,-49.70526572060445,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.8780954309205613, 'e': 0.4025242240336359}",25,0,-73.39429812977478,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.8693582353988059, 'e': 0.3753110988513995}",25,10,-49.113619216780634,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.8607079764250578, 'e': 0.3499377491111553}",20,13,7.990134675683728,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.8521437889662113, 'e': 0.32627979462303947}",25,8,-50.88688389116517,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
17,False,"{'a': 0.8436648165963837, 'e': 0.304221264066704}",20,0,-46.258748354977115,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.835270211411272, 'e': 0.2836540264997703}",20,0,29.169376593624264,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.8269591339433623, 'e': 0.26447726129982396}",20,0,7.7633445879211695,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
