trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.81693390344347,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.92568659345979,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.47130841836187,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.2562398599134,"{0: 10, 1: 2, 2: 9, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,2,-106.68944399997838,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.15063105850811,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.095839921239,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.58890787615258,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.83941114036048,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-102.24356150495899,"{0: 24, 1: 5, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-222.08722212301262,"{0: 14, 1: 4, 2: 6, 3: 4, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.02329304344323,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,11,-41.77864902767642,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.14082830273858,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-223.09406261678583,"{0: 21, 1: 1, 2: 8, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.58696617905657,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.46105151063742,"{0: 15, 1: 2, 2: 4, 3: 4, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,7,-31.994045268311808,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,7,-66.90166092914617,"{0: 6, 1: 5, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.1389607780851,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.34542010889369,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-13.851466760162738,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.43632480470466,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-215.5912336058641,"{0: 7, 1: 2, 2: 7, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,2,-65.57116472609603,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.96599657887143,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.4670067245459,"{0: 8, 1: 6, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.51854672134635,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,10,-178.5765710952581,"{0: 5, 1: 2, 2: 4, 3: 1, 4: 3}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.26980451777996,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
